,Unnamed: 0,Imię,Nazwisko,Płeć,id,data_urodzenia,mail,data_zatrudnienia,adres
0,0,WIESŁAW,WRÓBLEWSKI,MĘŻCZYZNA,0,1984-10-21,WIESŁAW.WRÓBLEWSKI@interia.com,2015-10-12,Zielona 91; Wrocław 50-509
2,2,ARKADIUSZ,MARCINIAK,MĘŻCZYZNA,1,1981-5-23,ARKADIUSZ.MARCINIAK@02.com,2016-3-18,Motylkowa 9; Wrocław 55-504
4,4,FRANCISZEK,SADOWSKI,MĘŻCZYZNA,2,1977-9-24,FRANCISZEK.SADOWSKI@02.com,2017-7-12,Nagietkowa 11; Kamień 55-506
6,6,BARTŁOMIEJ,JAKUBOWSKI,MĘŻCZYZNA,3,1986-1-23,BARTŁOMIEJ.JAKUBOWSKI@02.com,2018-9-10,Katowicka 92; Wrocław 50-504
8,8,WIKTOR,CHMIELEWSKI,MĘŻCZYZNA,4,1985-7-16,WIKTOR.CHMIELEWSKI@02.com,2014-1-14,Cytrynowa 67; Łany 50-506
10,10,KLAUDIA,MARCINIAK,KOBIETA,5,1986-1-5,KLAUDIA.MARCINIAK@02.com,2015-10-23,Lubczykowa 6; Wrocław 52-509
12,12,MARZENA,DUDA,KOBIETA,6,1979-5-16,MARZENA.DUDA@02.com,2013-5-21,Morska 58; Wrocław 54-506
14,14,DOMINIKA,ZAWADZKA,KOBIETA,7,1971-3-16,DOMINIKA.ZAWADZKA@interia.com,2019-6-23,Piastowska 37; Krzyżanowice 50-509
16,16,AMELIA,WŁODARCZYK,KOBIETA,8,1980-11-14,AMELIA.WŁODARCZYK@02.com,2017-10-14,Graniczna 83; Wrocław 53-508
18,18,STANISŁAWA,CHMIELEWSKA,KOBIETA,9,1973-7-23,STANISŁAWA.CHMIELEWSKA@02.com,2014-9-16,Gruszowa 50; Kiełczówek 54-508
